2021-02-05 18:02:992 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (571b8443fc01a5692930c92f593eaf7a)] -> id: keywords]
2021-02-05 18:02:117 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (571b8443fc01a5692930c92f593eaf7a)] -> id: location]
2021-02-05 18:02:45 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:38 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (8d2430bfd7ed757e4a460c3ab49a4a5b)] -> id: keywords]
2021-02-05 18:02:162 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (8d2430bfd7ed757e4a460c3ab49a4a5b)] -> id: location]
2021-02-05 18:02:535 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:629 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (320d835328a67be516b0c69adfa0327c)] -> id: keywords]
2021-02-05 18:02:760 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (320d835328a67be516b0c69adfa0327c)] -> id: location]
2021-02-05 18:02:974 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:361 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (a87c01050aeab33a426191810319377a)] -> id: keywords]
2021-02-05 18:02:476 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (a87c01050aeab33a426191810319377a)] -> id: location]
2021-02-05 20:02:872 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:20 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (44e8fc86500ff4b3d057a8570e46ccbd)] -> id: keywords]
2021-02-05 20:02:215 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (44e8fc86500ff4b3d057a8570e46ccbd)] -> id: location]
2021-02-05 20:02:514 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:153 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:323 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (7f72aaca44dc757e985494d14b2d3b85)] -> id: keywords]
2021-02-05 20:02:442 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (7f72aaca44dc757e985494d14b2d3b85)] -> id: location]
2021-02-05 20:02:730 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (7f72aaca44dc757e985494d14b2d3b85)] -> id: distance]
2021-02-05 20:02:824 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:271 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (ccdf517ff78a5de58972f3b6196c492b)] -> id: keywords]
2021-02-05 20:02:404 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (ccdf517ff78a5de58972f3b6196c492b)] -> id: location]
2021-02-05 20:02:645 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (ccdf517ff78a5de58972f3b6196c492b)] -> id: distance]
2021-02-05 20:02:935 INFO  HomePage :62 - Click on more search  [[ChromeDriver: chrome on WINDOWS (ccdf517ff78a5de58972f3b6196c492b)] -> id: toggle-hp-search]
2021-02-05 20:02:195 INFO  HomePage :69 - Enter salarymin [[ChromeDriver: chrome on WINDOWS (ccdf517ff78a5de58972f3b6196c492b)] -> id: salarymin]
2021-02-05 20:02:324 INFO  HomePage :77 - Enter salarymax [[ChromeDriver: chrome on WINDOWS (ccdf517ff78a5de58972f3b6196c492b)] -> id: salarymax]
2021-02-05 20:02:453 INFO  HomePage :83 - Enter salarytype [[ChromeDriver: chrome on WINDOWS (ccdf517ff78a5de58972f3b6196c492b)] -> id: salarytype]
2021-02-05 20:02:612 INFO  HomePage :90 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (ccdf517ff78a5de58972f3b6196c492b)] -> id: tempperm]
2021-02-05 20:02:127 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:488 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (663decbb5046acd95470e76d79f4edba)] -> id: keywords]
2021-02-05 20:02:612 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (663decbb5046acd95470e76d79f4edba)] -> id: location]
2021-02-05 20:02:884 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (663decbb5046acd95470e76d79f4edba)] -> id: distance]
2021-02-05 20:02:247 INFO  HomePage :62 - Click on more search  [[ChromeDriver: chrome on WINDOWS (663decbb5046acd95470e76d79f4edba)] -> id: toggle-hp-search]
2021-02-05 20:02:349 INFO  HomePage :69 - Enter salarymin [[ChromeDriver: chrome on WINDOWS (663decbb5046acd95470e76d79f4edba)] -> id: salarymin]
2021-02-05 20:02:603 INFO  HomePage :77 - Enter salarymax [[ChromeDriver: chrome on WINDOWS (663decbb5046acd95470e76d79f4edba)] -> id: salarymax]
2021-02-05 20:02:728 INFO  HomePage :83 - Enter salarytype [[ChromeDriver: chrome on WINDOWS (663decbb5046acd95470e76d79f4edba)] -> id: salarytype]
2021-02-05 20:02:844 INFO  HomePage :90 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (663decbb5046acd95470e76d79f4edba)] -> id: tempperm]
2021-02-05 20:02:137 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:353 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (000a26daaf2bbe1caef7d9b87d400209)] -> id: keywords]
2021-02-05 20:02:464 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (000a26daaf2bbe1caef7d9b87d400209)] -> id: location]
2021-02-05 20:02:686 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (000a26daaf2bbe1caef7d9b87d400209)] -> id: distance]
2021-02-05 20:02:12 INFO  HomePage :62 - Click on more search  [[ChromeDriver: chrome on WINDOWS (000a26daaf2bbe1caef7d9b87d400209)] -> id: toggle-hp-search]
2021-02-05 20:02:299 INFO  HomePage :69 - Enter salarymin [[ChromeDriver: chrome on WINDOWS (000a26daaf2bbe1caef7d9b87d400209)] -> id: salarymin]
2021-02-05 20:02:393 INFO  HomePage :77 - Enter salarymax [[ChromeDriver: chrome on WINDOWS (000a26daaf2bbe1caef7d9b87d400209)] -> id: salarymax]
2021-02-05 20:02:500 INFO  HomePage :83 - Enter salarytype [[ChromeDriver: chrome on WINDOWS (000a26daaf2bbe1caef7d9b87d400209)] -> id: salarytype]
2021-02-05 20:02:654 INFO  HomePage :90 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (000a26daaf2bbe1caef7d9b87d400209)] -> id: tempperm]
2021-02-05 20:02:991 INFO  BrowserSelector :17 - Launching Chrome Browser
